T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5
0.6666666667,1,0.6666666667,0.6666666667,1,1,0.6666666667,0.6666666667,1,1,1,1,1,1,0.6666666667,1,0.6666666667,0.6666666667,1,0.6666666667,1,0.6666666667,1,0.6666666667,0.6666666667,1,0.6666666667,1,1,0.6666666667
0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1,1,1,1,0.75,1,0.75,0.75,1,0.5,0.75,0.5,0.75,0.75,0.75,1,0.5,1,0.75,0.5
0.8,0.8,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.8,1,0.8,0.8,0.8,0.6,1,0.6,0.6,0.8,0.6,0.8,0.4,0.6,0.8,0.6,1,0.6,0.8,0.6,0.6
0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.8333333333,0.8333333333,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.8333333333,0.5,0.5,0.8333333333,0.5,0.8333333333,0.3333333333,0.5,0.8333333333,0.6666666667,0.8333333333,0.5,0.6666666667,0.6666666667,0.5
0.7142857143,0.5714285714,0.5714285714,0.7142857143,0.7142857143,0.7142857143,0.5714285714,0.5714285714,0.7142857143,0.7142857143,0.7142857143,0.5714285714,0.5714285714,0.5714285714,0.5714285714,0.8571428571,0.4285714286,0.5714285714,0.7142857143,0.4285714286,0.7142857143,0.4285714286,0.5714285714,0.7142857143,0.7142857143,0.7142857143,0.5714285714,0.5714285714,0.5714285714,0.5714285714
0.625,0.5,0.5,0.625,0.625,0.75,0.5,0.625,0.75,0.625,0.625,0.625,0.625,0.5,0.5,0.875,0.5,0.5,0.625,0.5,0.625,0.5,0.625,0.625,0.75,0.75,0.5,0.5,0.5,0.625
0.6666666667,0.4444444444,0.4444444444,0.5555555556,0.6666666667,0.7777777778,0.4444444444,0.5555555556,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556,0.4444444444,0.4444444444,0.7777777778,0.5555555556,0.4444444444,0.5555555556,0.4444444444,0.5555555556,0.4444444444,0.5555555556,0.5555555556,0.7777777778,0.6666666667,0.4444444444,0.5555555556,0.4444444444,0.6666666667
0.6,0.5,0.4,0.5,0.6,0.8,0.5,0.6,0.7,0.6,0.7,0.5,0.5,0.4,0.4,0.7,0.5,0.4,0.6,0.4,0.6,0.5,0.6,0.6,0.7,0.6,0.4,0.5,0.5,0.6
0.6363636364,0.5454545455,0.3636363636,0.5454545455,0.5454545455,0.7272727273,0.5454545455,0.6363636364,0.6363636364,0.6363636364,0.6363636364,0.4545454545,0.5454545455,0.3636363636,0.3636363636,0.6363636364,0.4545454545,0.3636363636,0.5454545455,0.4545454545,0.5454545455,0.5454545455,0.5454545455,0.5454545455,0.6363636364,0.5454545455,0.4545454545,0.4545454545,0.4545454545,0.5454545455
0.5833333333,0.5,0.4166666667,0.5833333333,0.5833333333,0.6666666667,0.5833333333,0.5833333333,0.6666666667,0.5833333333,0.6666666667,0.4166666667,0.5,0.4166666667,0.4166666667,0.5833333333,0.4166666667,0.4166666667,0.5833333333,0.5,0.5,0.5,0.5,0.5,0.5833333333,0.5,0.5,0.4166666667,0.5,0.5833333333
0.6153846154,0.5384615385,0.3846153846,0.6153846154,0.6153846154,0.6153846154,0.6153846154,0.6153846154,0.6923076923,0.5384615385,0.6153846154,0.4615384615,0.4615384615,0.3846153846,0.3846153846,0.6153846154,0.3846153846,0.3846153846,0.5384615385,0.4615384615,0.4615384615,0.4615384615,0.5384615385,0.4615384615,0.5384615385,0.5384615385,0.4615384615,0.4615384615,0.4615384615,0.5384615385
0.5714285714,0.5714285714,0.3571428571,0.6428571429,0.5714285714,0.6428571429,0.5714285714,0.5714285714,0.6428571429,0.5,0.5714285714,0.4285714286,0.4285714286,0.4285714286,0.4285714286,0.5714285714,0.4285714286,0.4285714286,0.5,0.4285714286,0.5,0.4285714286,,0.5,0.5714285714,0.5,0.5,0.4285714286,0.4285714286,0.5
0.5333333333,0.6,0.4,0.6,0.5333333333,0.6,0.6,0.5333333333,0.6,0.4666666667,0.6,0.4666666667,0.4666666667,0.4666666667,0.4666666667,0.5333333333,0.4666666667,0.4,0.5333333333,0.4,0.5333333333,0.4,0.4666666667,0.4666666667,0.5333333333,0.4666666667,0.4666666667,0.4666666667,0.4666666667,0.5333333333
0.5625,0.625,0.4375,0.5625,0.5,0.625,0.625,0.5625,0.625,0.5,0.5625,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375,0.375,0.5625,0.4375,0.5,0.375,0.4375,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.5625
0.5882352941,0.5882352941,0.4117647059,0.5294117647,0.5294117647,0.5882352941,0.5882352941,0.5882352941,0.5882352941,0.5294117647,0.5294117647,0.4117647059,0.4705882353,0.4705882353,0.4117647059,0.5882352941,0.4705882353,0.4117647059,0.5882352941,0.4117647059,0.5294117647,0.4117647059,0.4705882353,0.4705882353,0.4705882353,0.4705882353,0.4117647059,0.4705882353,0.4705882353,0.5294117647
0.6111111111,0.5555555556,0.4444444444,0.5555555556,0.5,0.5555555556,0.5555555556,0.5555555556,0.6111111111,0.5,0.5,0.4444444444,0.5,0.4444444444,0.3888888889,0.5555555556,0.4444444444,0.3888888889,0.6111111111,0.3888888889,0.5,0.4444444444,0.4444444444,0.4444444444,0.5,0.5,0.4444444444,0.4444444444,0.4444444444,0.5
0.5789473684,0.5263157895,0.4736842105,0.5789473684,0.5263157895,0.5263157895,0.5263157895,0.5263157895,0.6315789474,0.5263157895,0.5263157895,0.4736842105,0.4736842105,0.4210526316,0.3684210526,0.5789473684,0.4210526316,0.3684210526,0.5789473684,0.3684210526,0.5263157895,0.4210526316,0.4210526316,0.4210526316,0.5263157895,0.4736842105,0.4210526316,0.4210526316,0.4210526316,0.5263157895
0.55,0.5,0.5,0.6,0.55,0.5,0.55,0.5,0.65,0.5,0.5,0.5,0.45,0.4,0.4,0.55,0.4,0.4,0.55,0.35,0.55,0.4,0.45,0.4,0.5,0.45,0.4,0.45,0.4,0.55
0.5238095238,0.5238095238,0.5238095238,0.619047619,0.5238095238,0.4761904762,0.5714285714,0.4761904762,0.619047619,0.5238095238,0.5238095238,0.5238095238,0.4761904762,0.4285714286,0.380952381,0.5714285714,0.4285714286,0.380952381,0.5238095238,0.380952381,0.5238095238,0.4285714286,0.4285714286,0.4285714286,0.5238095238,0.4761904762,0.380952381,0.4761904762,0.4285714286,0.5714285714
0.5,0.5,0.5,0.5909090909,0.5,0.5,0.5909090909,0.5,0.6363636364,0.5,0.5,0.5454545455,0.4545454545,0.4090909091,0.4090909091,0.5454545455,0.4090909091,0.4090909091,0.5,0.4090909091,0.5,0.4090909091,0.4545454545,0.4090909091,0.5454545455,0.4545454545,0.4090909091,0.4545454545,0.4090909091,0.5454545455
0.4782608696,0.5217391304,0.4782608696,0.5652173913,0.5217391304,0.5217391304,0.6086956522,0.4782608696,0.6086956522,0.5217391304,0.4782608696,0.5217391304,0.4347826087,0.3913043478,0.3913043478,0.5652173913,0.3913043478,0.4347826087,0.4782608696,0.4347826087,0.5217391304,0.3913043478,0.4782608696,0.3913043478,0.5217391304,0.4347826087,0.4347826087,0.4347826087,0.3913043478,0.5652173913
0.5,0.5416666667,0.4583333333,0.5416666667,0.5,0.5416666667,0.5833333333,0.5,0.5833333333,0.5416666667,0.4583333333,0.5,0.4583333333,0.4166666667,0.4166666667,0.5416666667,0.4166666667,0.4583333333,0.5,0.4166666667,0.5416666667,0.375,0.4583333333,0.375,0.5416666667,0.4583333333,0.4583333333,0.4166666667,0.375,0.5416666667
0.48,0.56,0.44,0.56,0.48,0.56,0.56,0.52,0.6,0.52,0.48,0.48,0.48,0.44,0.44,0.56,0.4,0.44,0.48,0.4,0.52,0.36,0.48,0.4,0.52,0.44,0.44,0.4,0.4,0.52
0.4615384615,0.5769230769,0.4230769231,0.5769230769,0.5,0.5384615385,0.5769230769,0.5384615385,0.6153846154,0.5,0.5,0.5,0.4615384615,0.4615384615,0.4615384615,0.5384615385,0.4230769231,0.4230769231,0.5,0.4230769231,0.5384615385,0.3846153846,0.5,0.3846153846,0.5,0.4230769231,0.4230769231,0.4230769231,0.3846153846,0.5
0.4444444444,0.5925925926,0.4444444444,0.5555555556,0.5185185185,0.5185185185,0.5925925926,0.5555555556,0.6296296296,0.4814814815,0.4814814815,0.4814814815,0.4444444444,0.4814814815,0.4444444444,0.5185185185,0.4074074074,0.4074074074,0.5185185185,0.4444444444,0.5185185185,0.3703703704,0.5185185185,0.3703703704,0.4814814815,0.4074074074,0.4444444444,0.4074074074,0.4074074074,0.4814814815
0.4642857143,0.5714285714,0.4642857143,0.5714285714,0.5,0.5,0.6071428571,0.5714285714,0.6428571429,0.4642857143,0.5,0.4642857143,0.4642857143,0.4642857143,0.4285714286,0.5357142857,0.4285714286,0.4285714286,0.5357142857,0.4642857143,0.5,0.3571428571,0.5,0.3571428571,0.4642857143,0.3928571429,0.4285714286,0.4285714286,0.4285714286,0.5
0.4827586207,0.5517241379,0.4482758621,0.5862068966,0.5172413793,0.4827586207,0.6206896552,0.5517241379,0.6551724138,0.4827586207,0.5172413793,0.4482758621,0.4827586207,0.4482758621,0.4482758621,0.5517241379,0.4137931034,0.4137931034,0.5172413793,0.4827586207,0.5172413793,0.3448275862,0.4827586207,0.3793103448,0.4827586207,0.3793103448,0.4137931034,0.4137931034,0.4482758621,0.4827586207
0.4666666667,0.5666666667,0.4333333333,0.6,0.5333333333,0.5,0.6,0.5666666667,0.6333333333,0.5,0.5,0.4666666667,0.4666666667,0.4333333333,0.4666666667,0.5333333333,0.4,0.4333333333,0.5333333333,0.4666666667,0.5333333333,0.3666666667,0.4666666667,0.3666666667,0.5,0.4,0.4,0.4,0.4333333333,0.4666666667
0.4838709677,0.5806451613,0.4193548387,0.6129032258,0.5161290323,0.5161290323,0.5806451613,0.5806451613,0.6451612903,0.5161290323,0.4838709677,0.4516129032,0.4516129032,0.4193548387,0.4516129032,0.5483870968,0.3870967742,0.4193548387,0.5483870968,0.4838709677,0.5161290323,0.3870967742,0.4838709677,0.3548387097,0.5161290323,0.3870967742,0.3870967742,0.3870967742,0.4193548387,0.4516129032
0.46875,0.59375,0.40625,0.625,0.53125,0.53125,0.59375,0.59375,0.65625,0.5,0.5,0.46875,0.46875,0.40625,0.4375,0.53125,0.375,0.4375,0.53125,0.46875,0.53125,0.375,0.46875,0.375,0.53125,0.40625,0.375,0.375,0.40625,0.4375
0.4545454545,0.6060606061,0.4242424242,0.6060606061,0.5151515152,0.5454545455,0.5757575758,0.5757575758,0.6666666667,0.4848484848,0.4848484848,0.4848484848,0.4848484848,0.4242424242,0.4545454545,0.5151515152,0.3636363636,0.4242424242,0.5151515152,0.4848484848,0.5151515152,0.3636363636,0.4545454545,0.3939393939,0.5454545455,0.3939393939,0.3939393939,0.3939393939,0.3939393939,0.4545454545
0.4705882353,0.5882352941,0.4117647059,0.5882352941,0.5294117647,0.5588235294,0.5882352941,0.5882352941,0.6470588235,0.4705882353,0.4705882353,0.4705882353,0.5,0.4117647059,0.4411764706,0.5,0.3529411765,0.4411764706,0.5,0.4705882353,0.5,0.3529411765,0.4411764706,0.4117647059,0.5294117647,0.4117647059,0.4117647059,0.3823529412,0.4117647059,0.4705882353
0.4857142857,0.5714285714,0.4285714286,0.6,0.5142857143,0.5428571429,0.5714285714,0.6,0.6571428571,0.4571428571,0.4857142857,0.4571428571,0.5142857143,0.4,0.4285714286,0.4857142857,0.3714285714,0.4285714286,0.4857142857,0.4857142857,0.4857142857,0.3428571429,0.4285714286,0.4285714286,0.5428571429,0.4285714286,0.4,0.4,0.4285714286,0.4857142857
0.4722222222,0.5555555556,0.4166666667,0.5833333333,0.5277777778,0.5555555556,0.5833333333,0.5833333333,0.6666666667,0.4444444444,0.4722222222,0.4444444444,0.5,0.4166666667,0.4444444444,0.4722222222,0.3888888889,0.4166666667,0.5,0.4722222222,0.5,0.3611111111,0.4444444444,0.4166666667,0.5277777778,0.4166666667,0.4166666667,0.4166666667,0.4444444444,0.4722222222
0.4864864865,0.5405405405,0.4054054054,0.5945945946,0.5405405405,0.5405405405,0.5945945946,0.5675675676,0.6486486486,0.4324324324,0.4594594595,0.4324324324,0.5135135135,0.4054054054,0.4324324324,0.4594594595,0.4054054054,0.4054054054,0.4864864865,0.4594594595,0.5135135135,0.3513513514,0.4594594595,0.4054054054,0.5135135135,0.4054054054,0.4054054054,0.4054054054,0.4324324324,0.4864864865
