InP1,InP2,InP3,InP4,InP5
5.52,4.53,4.89,3.83,3.08
5.92,4.58,4.17,3.27,3.26
5.41,4.87,4.04,3.31,2.98
6.23,4.5,3.88,3.5,3.09
5.29,4.36,4.09,3.64,3.24
5.42,5.07,4.13,3.47,3.41
5.34,5.38,3.9,3.68,3.2
4.79,4.85,4.09,3.6,3.28
5.31,4.89,3.58,3.67,3.32
5.54,5.22,3.92,3.83,3.08
5.51,4.53,4.32,3.27,3.38
5.95,4.58,6.17,3.31,3.12
5.68,4.87,3.89,3.5,3.54
5.43,4.5,3.68,3.64,3
5.52,4.36,3.98,3.47,3.13
5.92,5.07,3.75,3.68,2.9
5.41,5.38,3.66,3.6,3.4
6.23,4.85,3.73,3.67,3.08
5.29,4.89,4.01,3.83,3.26
5.42,5.22,3.77,3.27,2.98
5.34,4.53,4.34,3.31,3.09
4.79,4.58,3.53,3.5,3.24
5.31,4.87,3.8,3.64,3.41
5.54,4.5,4.03,3.47,3.2
4.79,4.36,3.73,3.68,3.28
5.95,5.07,3.49,3.6,3.32
5.68,5.38,3.97,3.67,3.08
5.43,4.85,3.58,3.64,3.38
5.54,4.89,3.97,3.47,3.12
5.26,5.22,4.31,3.68,3.54
5.43,4.5,3.9,3.64,3
