index,0/0/count,0/1/count,0/2/count,1/0/count,1/1/count,1/2/count,2/0/count,2/1/count,2/2/count,3/0/count,3/1/count,3/2/count,4/0/count,4/1/count,4/2/count,5/0/count,5/1/count,5/2/count,6/0/count,6/1/count,6/2/count,7/0/count,7/1/count,7/2/count,8/0/count,8/1/count,8/2/count,9/0/count,9/1/count,9/2/count,10/0/count,10/1/count,10/2/count,11/0/count,11/1/count,11/2/count,12/0/count,12/1/count,12/2/count,13/0/count,13/1/count,13/2/count,14/0/count,14/1/count,14/2/count,15/0/count,15/1/count,15/2/count,16/0/count,16/1/count,16/2/count,17/0/count,17/1/count,17/2/count,18/0/count,18/1/count,18/2/count,19/0/count,19/1/count,19/2/count,20/0/count,20/1/count,20/2/count,21/0/count,21/1/count,21/2/count,22/0/count,22/1/count,22/2/count,23/0/count,23/1/count,23/2/count,24/0/count,24/1/count,24/2/count,25/0/count,25/1/count,25/2/count,26/0/count,26/1/count,26/2/count,27/0/count,27/1/count,27/2/count,28/0/count,28/1/count,28/2/count,29/0/count,29/1/count,29/2/count
10,4,5,1,3,4,3,4,3,4,7,2,1,3,4,3,4,3,3,5,5,,5,4,1,4,4,2,5,3,2,4,3,3,5,3,2,5,2,3,3,3,4,4,3,3,4,1,5,4,2,4,4,2,4,3,2,5,5,2,3,5,1,4,3,5,2,2,4,4,6,4,,4,4,2,4,4,2,3,5,2,2,2,6,4,4,2,4,4,2
20,9,8,3,4,9,7,3,7,10,9,5,6,6,9,5,7,5,8,12,5,3,9,8,6,5,9,8,4,8,11,9,4,7,10,6,4,8,5,7,8,4,8,7,8,5,9,4,7,8,7,5,8,5,7,9,3,8,9,3,8,5,5,10,5,11,4,6,8,6,9,7,4,9,8,3,6,8,6,4,9,7,10,2,8,9,8,3,6,8,6
30,15,10,5,7,12,11,5,11,14,11,6,13,9,13,8,10,12,8,15,10,5,13,11,7,7,16,10,10,10,15,13,6,11,12,12,6,10,7,13,12,6,12,11,11,8,15,6,9,11,10,9,10,11,9,15,6,9,14,7,9,8,5,17,8,16,6,8,14,8,10,15,5,10,14,6,8,11,11,7,11,12,14,5,11,10,14,6,8,11,11
40,18,16,6,12,15,13,8,13,19,13,9,18,12,20,8,13,15,12,18,13,9,16,14,9,8,23,12,14,14,20,18,10,12,13,16,11,12,10,18,16,6,18,14,15,11,18,11,11,14,10,16,13,15,12,17,9,14,19,8,13,12,7,21,14,18,8,9,19,12,14,20,6,12,22,6,14,14,12,12,11,17,19,9,12,12,22,6,14,14,12
50,21,20,9,15,16,19,14,15,21,15,14,21,16,22,12,18,15,17,23,15,12,18,20,15,10,25,12,17,21,24,20,15,15,13,18,19,17,11,22,18,10,22,18,19,13,19,14,17,14,13,23,18,18,14,22,12,16,24,10,16,13,9,28,17,20,13,10,25,15,23,20,7,13,25,12,20,18,12,18,13,19,24,13,13,13,25,12,20,18,12
60,23,23,14,21,17,22,17,20,23,19,16,25,20,27,13,22,18,20,24,17,19,22,21,18,16,26,20,19,21,30,21,20,19,13,21,26,19,14,27,20,17,23,21,23,16,21,18,21,18,13,29,23,20,17,23,19,18,31,12,17,16,11,33,17,28,15,12,28,20,28,23,9,16,29,15,21,24,15,19,19,22,29,17,14,16,29,15,21,24,15
70,28,28,14,24,18,28,20,25,25,23,21,26,25,31,14,23,20,27,27,22,21,23,25,19,18,33,25,23,22,32,23,23,24,17,24,29,23,19,28,24,19,27,22,26,22,26,19,25,20,17,33,24,27,19,24,23,23,33,18,19,21,12,37,20,30,20,16,30,24,33,25,12,17,30,23,27,26,17,22,23,25,32,17,21,17,30,23,27,26,17
80,32,30,18,28,20,32,21,31,28,24,23,33,31,34,15,25,24,31,30,23,27,27,25,22,20,38,27,28,25,33,27,24,29,21,26,33,25,22,33,30,21,29,23,33,24,30,22,28,23,20,37,25,33,22,27,25,28,37,22,21,23,17,40,27,33,20,20,30,30,36,29,15,23,32,25,28,29,23,24,26,30,35,20,25,23,32,25,28,29,23
90,33,31,26,36,21,33,23,37,30,25,26,39,33,36,21,28,28,34,34,26,30,28,28,24,22,44,27,31,32,35,28,28,34,22,32,36,28,25,37,30,22,38,27,37,26,32,25,33,32,21,37,28,39,23,31,29,30,38,29,23,27,17,46,30,36,24,22,35,33,38,34,18,28,32,30,32,32,26,27,31,32,39,25,26,28,32,30,32,32,26
100,37,35,28,41,24,35,24,42,34,29,27,44,35,42,23,32,34,34,37,28,35,32,30,24,23,53,32,33,35,38,30,35,35,27,36,37,29,30,41,34,23,43,30,39,31,41,26,33,35,25,40,31,40,29,33,36,31,41,31,28,33,20,47,33,39,28,25,35,40,44,37,19,34,34,32,37,35,28,29,34,37,44,25,31,34,34,32,37,35,28
