index,0/0/count,0/1/count,0/2/count,1/0/count,1/1/count,1/2/count,2/0/count,2/1/count,2/2/count,3/0/count,3/1/count,3/2/count,4/0/count,4/1/count,4/2/count,5/0/count,5/1/count,5/2/count,6/0/count,6/1/count,6/2/count,7/0/count,7/1/count,7/2/count,8/0/count,8/1/count,8/2/count,9/0/count,9/1/count,9/2/count,10/0/count,10/1/count,10/2/count,11/0/count,11/1/count,11/2/count,12/0/count,12/1/count,12/2/count,13/0/count,13/1/count,13/2/count,14/0/count,14/1/count,14/2/count,15/0/count,15/1/count,15/2/count,16/0/count,16/1/count,16/2/count,17/0/count,17/1/count,17/2/count,18/0/count,18/1/count,18/2/count,19/0/count,19/1/count,19/2/count,20/0/count,20/1/count,20/2/count,21/0/count,21/1/count,21/2/count,22/0/count,22/1/count,22/2/count,23/0/count,23/1/count,23/2/count,24/0/count,24/1/count,24/2/count,25/0/count,25/1/count,25/2/count,26/0/count,26/1/count,26/2/count,27/0/count,27/1/count,27/2/count,28/0/count,28/1/count,28/2/count,29/0/count,29/1/count,29/2/count
10,2,6,2,8,2,,2,5,3,4,5,1,3,4,3,6,3,1,2,5,3,4,5,1,7,3,,4,2,4,4,6,,3,4,3,3,3,4,5,2,3,5,3,2,3,5,2,4,4,2,7,1,2,5,2,3,3,5,2,2,8,,3,3,4,4,3,3,3,6,1,4,4,2,7,2,1,1,5,4,3,1,6,7,2,1,7,2,1
20,6,8,6,11,2,7,5,8,7,9,10,1,6,8,6,9,8,3,7,8,5,5,11,4,11,5,4,6,7,7,9,9,2,6,9,5,9,5,6,12,4,4,5,9,6,6,7,7,4,12,4,14,3,3,10,4,6,6,7,7,4,14,2,8,4,8,6,8,6,4,12,4,6,8,6,10,8,2,5,10,5,6,1,13,10,8,2,7,3,10
30,9,9,12,15,6,9,7,15,8,15,13,2,10,12,8,11,11,8,12,12,6,6,18,6,11,12,7,11,12,7,14,11,5,13,9,8,11,7,12,13,11,6,8,14,8,10,10,10,9,14,7,17,7,6,13,8,9,9,12,9,8,18,4,9,7,14,6,13,11,9,15,6,8,14,8,10,10,10,5,14,11,9,3,18,13,11,6,10,9,11
40,13,10,17,19,10,11,9,23,8,20,13,7,12,15,13,16,13,11,15,17,8,7,20,13,16,13,11,12,18,10,18,15,7,15,14,11,13,8,19,15,16,9,12,16,12,15,11,14,10,20,10,19,10,11,15,11,14,9,17,14,12,24,4,15,8,17,8,18,14,13,17,10,8,20,12,10,13,17,10,16,14,14,3,23,18,14,8,15,12,13
50,17,13,20,20,19,11,10,29,11,24,15,11,17,17,16,23,16,11,23,17,10,10,23,17,18,18,14,15,23,12,21,19,10,18,19,13,21,8,21,20,20,10,19,18,13,15,15,20,11,28,11,21,11,18,16,11,23,10,23,17,17,25,8,15,17,18,12,19,19,17,22,11,12,26,12,13,17,20,14,21,15,16,7,27,20,20,10,20,16,14
60,25,13,22,24,22,14,12,35,13,27,21,12,20,19,21,27,22,11,24,19,17,19,24,17,24,22,14,16,28,16,26,23,11,19,27,14,22,12,26,25,24,11,23,21,16,16,22,22,11,36,13,29,12,19,20,16,24,13,23,24,19,32,9,20,20,20,14,23,23,19,24,17,17,29,14,18,19,23,18,25,17,16,10,34,24,23,13,21,23,16
70,26,21,23,26,27,17,16,35,19,29,28,13,23,20,27,30,23,17,30,22,18,23,29,18,25,25,20,17,28,25,30,27,13,20,30,20,29,13,28,26,25,19,24,25,21,16,26,28,12,39,19,33,15,22,24,19,27,16,28,26,20,35,15,22,23,25,21,25,24,21,27,22,21,35,14,20,26,24,23,28,19,21,11,38,26,29,15,25,29,16
80,34,21,25,27,35,18,18,38,24,30,28,22,24,20,36,33,26,21,34,26,20,27,31,22,26,31,23,17,36,27,36,30,14,27,31,22,33,16,31,30,25,25,27,30,23,17,30,33,14,47,19,39,17,24,29,19,32,16,34,30,22,39,19,26,24,30,23,27,30,23,34,23,23,43,14,28,26,26,28,30,22,25,11,44,31,33,16,27,30,23
90,37,24,29,28,40,22,21,41,28,35,31,24,27,23,40,34,31,25,36,30,24,29,34,27,29,37,24,21,39,30,41,32,17,30,34,26,37,21,32,34,28,28,30,35,25,17,31,42,15,51,24,46,18,26,32,23,35,19,37,34,25,40,25,29,26,35,27,32,31,27,35,28,25,50,15,34,27,29,33,31,26,29,15,46,32,36,22,31,31,28
100,38,29,33,30,46,24,24,46,30,37,36,27,32,25,43,36,35,29,39,32,29,29,39,32,31,40,29,24,43,33,45,33,22,30,43,27,37,26,37,35,34,31,40,35,25,22,32,46,17,55,28,50,21,29,35,25,40,23,40,37,25,48,27,30,32,38,27,36,37,30,36,34,27,54,19,38,31,31,33,38,29,30,19,51,34,40,26,34,37,29
