T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
1,0,1,0,0,1,0,0,0,2,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0
2,2,2,1,1,2,0,1,0,2,0,3,3,2,0,0,2,0,1,0,2,0,0,0,0,1,0,2,0,0
2,2,2,1,1,4,1,1,0,4,1,3,3,4,0,1,3,1,2,1,2,2,0,0,0,1,0,2,1,0
3,2,3,1,1,5,1,1,1,6,1,3,4,5,0,3,3,3,2,2,2,3,0,0,1,1,0,4,1,0
3,2,4,2,2,6,2,1,2,6,2,4,4,5,0,3,3,5,2,3,2,4,1,0,1,2,1,5,2,1
3,3,5,2,4,6,2,1,2,7,2,5,4,5,1,4,3,7,2,4,2,4,2,0,1,2,1,5,3,1
3,5,5,2,4,6,2,1,2,7,3,6,4,5,2,4,3,8,4,5,4,5,2,2,1,3,1,5,4,1
4,5,7,3,5,7,2,3,3,8,4,7,4,5,2,4,4,9,4,6,5,6,2,4,1,3,1,5,5,1
6,5,9,4,6,9,2,3,3,9,4,8,4,6,2,4,4,9,5,7,5,7,2,4,1,4,1,5,5,1
6,5,9,4,6,9,3,3,5,10,4,8,4,8,3,4,4,9,5,8,5,7,3,4,1,4,1,5,5,1
6,6,10,4,6,10,5,3,5,11,5,8,6,10,5,4,5,10,5,9,5,9,4,5,1,5,3,5,6,3
6,7,11,5,7,11,6,4,5,12,5,10,6,11,5,4,5,11,7,10,5,9,4,5,1,7,3,5,7,3
6,8,11,6,,11,7,6,6,12,6,11,6,11,6,4,5,11,8,11,5,9,4,5,2,7,4,6,8,4
7,9,11,8,9,11,7,7,6,13,6,11,6,11,6,4,6,11,9,12,6,9,5,5,4,7,5,7,8,5
7,11,11,9,9,11,7,7,6,15,7,11,7,11,6,4,8,12,10,13,6,9,5,6,4,7,5,7,8,5
