A1,A2,A3,A4,A5
53.9166666667,58.9166666667,60.9166666667,60.5,59.5
56.75,61.75,63.75,67.3333333333,58.5
54.5,59.5,61.5,61.0833333333,61.5
53.5,58.5,60.5,60.5,59.6666666667
55.0833333333,60.0833333333,62.0833333333,60.5,60.9166666667
55.5,60.5,62.5,65.8333333333,60.75
55.5,60.5,62.5,64.4166666667,63.9166666667
59.0833333333,64.0833333333,66.0833333333,66.9166666667,65.25
54.5,59.5,61.5,61.1666666667,62.3333333333
54.5,59.5,61.5,96.4166666667,68
57.8333333333,62.8333333333,64.8333333333,61.0833333333,62.0833333333
57.8333333333,62.8333333333,64.8333333333,62.1666666667,64.4166666667
54.3333333333,59.3333333333,61.3333333333,65.0833333333,61.75
56.0833333333,61.0833333333,63.0833333333,63.5833333333,68.4166666667
56,61,63,66.9166666667,68.9166666667
54.9166666667,59.9166666667,61.9166666667,66.1666666667,66.6666666667
61.5833333333,66.5833333333,68.5833333333,68,69.25
55.3333333333,60.3333333333,62.3333333333,69,68.3333333333
55.0833333333,60.0833333333,62.0833333333,62.3333333333,63.6666666667
55.8333333333,60.8333333333,62.8333333333,65.75,67.5
60.0833333333,65.0833333333,67.0833333333,87.4166666667,67.0833333333
62.0833333333,67.0833333333,69.0833333333,64,68
55.9166666667,60.9166666667,62.9166666667,67.0833333333,67
56.75,61.75,63.75,67.25,71.6666666667
54.3333333333,59.3333333333,61.3333333333,65.6666666667,86.1666666667
54.0833333333,59.0833333333,61.0833333333,97.25,68.4166666667
58.1666666667,63.1666666667,65.1666666667,62.0833333333,67.0833333333
54.6666666667,59.6666666667,61.6666666667,67.0833333333,71.9166666667
59.8333333333,64.8333333333,66.8333333333,67.5833333333,66
60.25,65.25,67.25,66.1666666667,80.3333333333
54.0833333333,59.0833333333,61.0833333333,67.0833333333,84.4166666667
59.25,64.25,66.25,79.3333333333,68.4166666667
56.4166666667,61.4166666667,63.4166666667,64.8333333333,62.5833333333
57.75,62.75,64.75,66.0833333333,69.8333333333
55.0833333333,60.0833333333,62.0833333333,63,83
57.8333333333,62.8333333333,64.8333333333,82.3333333333,63.8333333333
61.25,66.25,68.25,60.9166666667,62.75
56.5,61.5,63.5,70,80
62.75,67.75,69.75,81.0833333333,80
55.6666666667,60.6666666667,62.6666666667,64.0833333333,85
56.0833333333,61.0833333333,63.0833333333,67.3333333333,88.75
57.4166666667,62.4166666667,64.4166666667,68.1666666667,74.3333333333
55.1666666667,60.1666666667,62.1666666667,62.75,62.5
53.0833333333,58.0833333333,60.0833333333,60.9166666667,83
56.3333333333,61.3333333333,63.3333333333,65,69.25
58.8333333333,63.8333333333,65.8333333333,70,61.9166666667
55.5,60.5,62.5,68.3333333333,62.5833333333
59.3333333333,64.3333333333,66.3333333333,80,66.6666666667
57.3333333333,62.3333333333,64.3333333333,67.0833333333,62.5833333333
55.6666666667,60.6666666667,62.6666666667,68.0833333333,65.6666666667
55.0833333333,60.0833333333,62.0833333333,65.6666666667,69.5
55.5,60.5,62.5,64.5833333333,62.8333333333
55.9166666667,60.9166666667,62.9166666667,65.0833333333,67.3333333333
55.0833333333,60.0833333333,62.0833333333,67.9166666667,66.8333333333
59.5,64.5,66.5,63.75,67.1666666667
58,63,65,64.4166666667,69.1666666667
55.75,60.75,62.75,64.8333333333,59.0833333333
55.9166666667,60.9166666667,62.9166666667,64.8333333333,69.4166666667
58.4166666667,63.4166666667,65.4166666667,71.9166666667,66.3333333333
58.8333333333,63.8333333333,65.8333333333,68.1666666667,67.4166666667
54.0833333333,59.0833333333,61.0833333333,66.5833333333,82
59.6666666667,64.6666666667,66.6666666667,66.5,65.25
54.5,59.5,61.5,68.1666666667,90
57.5,62.5,64.5,65.5833333333,66.75
55.5,60.5,62.5,64.8333333333,63.3333333333
56.0833333333,61.0833333333,63.0833333333,65.6666666667,63
58.3333333333,63.3333333333,65.3333333333,69,90
56.5,61.5,63.5,64.6666666667,60.75
55.25,60.25,62.25,65.9166666667,68.4166666667
56.9166666667,61.9166666667,63.9166666667,80.9166666667,67.0833333333
57.3333333333,62.3333333333,64.3333333333,59.5,71.9166666667
55.0833333333,60.0833333333,62.0833333333,65,66
53.0833333333,58.0833333333,60.0833333333,60.9166666667,80.3333333333
57.1666666667,62.1666666667,64.1666666667,64.8333333333,84.4166666667
54.3333333333,59.3333333333,61.3333333333,61.5,68.4166666667
55.75,60.75,62.75,64,80.3333333333
55.0833333333,60.0833333333,62.0833333333,64.25,84.4166666667
56.5,61.5,63.5,62.9166666667,63.8333333333
56.1666666667,61.1666666667,63.1666666667,61.5833333333,83.75
55.0833333333,60.0833333333,62.0833333333,66.0833333333,63.5833333333
61,66,68,62.9166666667,64.5
55.0833333333,60.0833333333,62.0833333333,65.9166666667,73
57.0833333333,62.0833333333,64.0833333333,77,66.1666666667
54.5,59.5,61.5,68,75
62.3333333333,55,69.3333333333,64.6666666667,69.1666666667
56.8333333333,62.4166666667,57.9166666667,73,66.75
56.9166666667,56.75,66.8333333333,81.3333333333,63.3333333333
56.5,59.5,63.1666666667,62.6666666667,63
56.5,56.9166666667,56.8333333333,63.25,80
55.6666666667,56.3333333333,60.75,65.8333333333,60.75
58.0833333333,64.8333333333,62.4166666667,64.8333333333,66.0833333333
57.75,59.0833333333,54.5833333333,61.5,63.3333333333
60.0833333333,55,68.5,64,68.9166666667
56.3333333333,56.3333333333,60.4166666667,64.25,66.9166666667
55.5,58.1666666667,59.3333333333,62.9166666667,67.75
55.5,58.6666666667,61.5833333333,61.5833333333,64.4166666667
60.25,65,61.4166666667,66.0833333333,67.5
55.75,62.5,82.9166666667,62.9166666667,84.75
53.6666666667,56.9166666667,,65.9166666667,63.1666666667
57.8333333333,60.9166666667,,78,63.8333333333
56.3333333333,56.3333333333,59.9166666667,68,83.75
55.5,58.1666666667,58.8333333333,64.6666666667,63.5833333333
55.5,58.6666666667,61.0833333333,70,64.5
60.25,60,60.9166666667,73,73
55.75,62.5,82.4166666667,62.6666666667,66.1666666667
53.6666666667,56.9166666667,58.8333333333,63.25,75
57.8333333333,60.9166666667,61.0833333333,65.8333333333,69.1666666667
