I11,I12,I13,I14,I15,I21,I22,I23,I24,I25,I31,I32,I33,I34,I35,arrivals
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,2
1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3
1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,
0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,
0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,
0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,
0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,
1,0,0,0,0,0,0.6,0,1,0,0,0.4,1,0,1,
1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,
1,0,0,1,0.4,0,1,1,0,0.6,0,0,0,0,0,
0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,
0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,
1,0,0.8,1,0,0,1,0,0,1,0,0,0.2,0,0,
1,1,0.6,1,0.6,0,0,0,0,0.2,0,0,0.4,0,0.2,
1,1,0,1,0,0,0,0.8,0,1,0,0,0.2,0,0,
0,0,1,0.8,0.2,1,0,0,0,0.4,0,1,0,0.2,0.4,
1,0,0,0,0.6,0,1,1,0,0.4,0,0,0,1,0,
1,0.6,1,0,0.8,0,0.2,0,1,0.2,0,0.2,0,0,0,
1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,
1,0,0.8,0,0.4,0,0,0,0,0.2,0,1,0.2,1,0.4,
1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
1,1,0.6,0,0,0,0,0.4,0,0,0,0,0,1,1,
1,0,0,0.6,1,0,1,0,0,0,0,0,1,0.4,0,
0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,
1,0,0,0,0.2,0,1,1,1,0,0,0,0,0,0.8,
0,1,0.2,0,0,1,0,0.4,1,0,0,0,0.4,0,1,
1,0.6,0,0,0,0,0,0,1,1,0,0.4,1,0,0,
1,1,1,1,0.8,0,0,0,0,0.2,0,0,0,0,0,
1,0,0,1,0.8,0,1,1,0,0,0,0,0,0,0.2,
1,0.6,0.6,0,0,0,0.2,0.2,1,0,0,0.2,0.2,0,1,
0,0,0,0.6,1,1,0,0,0,0,0,1,1,0.4,0,
0,0,0,1,0,1,1,1,0,0.8,0,0,0,0,0.2,
0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,
1,0,0,0.8,0.6,0,1,0,0.2,0.2,0,0,1,0,0.2,
1,1,0.8,1,1,0,0,0.2,0,0,0,0,0,0,0,
1,1,0,0,0,0,0,1,1,0.6,0,0,0,0,0.4,
1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,
1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,
0,0,1,0.4,0.6,1,0,0,0.4,0.4,0,1,0,0.2,0,
1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,
1,1,0,0.8,0.8,0,0,0,0.2,0,0,0,1,0,0.2,
1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,
0,0,0.8,0.2,0,1,0,0,0.6,0,0,1,0.2,0.2,1,
0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,
0,1,0.4,0,1,0,0,0.2,1,0,1,0,0.4,0,0,
0,0,0,0.6,0,0,1,1,0.2,0,1,0,0,0.2,1,
1,0.8,0,0,0.6,0,0,1,1,0.4,0,0.2,0,0,0,
0,0,0,0.4,0,1,1,0,0.4,0,0,0,1,0.2,1,
1,1,0.4,1,0.6,0,0,0.4,0,0.2,0,0,0.2,0,0.2,
1,0,0.8,1,0,0,1,0,0,0,0,0,0.2,0,1,
0,1,0,1,0.6,1,0,1,0,0.4,0,0,0,0,0,
1,0,0,0.6,0,0,1,1,0.2,1,0,0,0,0.2,0,
1,1,1,0,0.8,0,0,0,0,0,0,0,0,1,0.2,
0,0.8,1,0,1,1,0,0,0,0,0,0.2,0,1,0,
1,1,0,0,0.4,0,0,0.4,1,0.6,0,0,0.6,0,0,
0,0,1,0.4,0,1,1,0,0.6,0,0,0,0,0,1,
0,1,0.6,0,0.8,1,0,0.2,0,0.2,0,0,0.2,1,0,
0,1,0,0,0,0,0,0.6,0,0.6,1,0,0.4,1,0.4,
0,0,0.8,0,0,0,1,0.2,0,0,1,0,0,1,1,
1,1,0.6,0,0.6,0,0,0.4,0,0.4,0,0,0,1,0,
1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,
1,1,0,0.6,0.6,0,0,1,0,0.4,0,0,0,0.4,0,
1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,
1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
0,0,0,1,0.6,1,0,1,0,0,0,1,0,0,0.4,
0,0,0,0.6,0,1,0,0,0.2,0,0,1,1,0.2,1,
1,0.8,0,0.6,0.6,0,0,0,0.2,0.4,0,0.2,1,0.2,0,
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
0,1,1,0,1,1,0,0,0.8,0,0,0,0,0.2,0,
1,1,0.4,0.4,0.6,0,0,0.2,0.4,0.2,0,0,0.4,0.2,0.2,
0,0,0,0,0,1,1,1,0.8,1,0,0,0,0.2,0,
0,0,0.8,0,0.4,1,1,0,1,0.6,0,0,0.2,0,0,
0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,
1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,
1,1,1,0.8,1,0,0,0,0,0,0,0,0,0.2,0,
1,0,0,1,0.6,0,1,1,0,0.2,0,0,0,0,0.2,
1,0,1,1,0.4,0,1,0,0,0.4,0,0,0,0,0.2,
1,1,1,0.8,,0,0,0,0,,0,0,0,0.2,,
0,1,0.6,0.6,,1,0,0.2,0,,0,0,0.2,0.4,,
0,1,0,0.4,,1,0,1,0.2,,0,0,0,0.4,,
1,1,0,0.6,,0,0,1,0.4,,0,0,0,0,,
0,0,1,0.4,,1,0,0,0.2,,0,1,0,0.4,,
1,0,0.4,,,0,0,0.4,,,0,1,0.2,,,
1,0,0,,,0,0,0,,,0,1,1,,,
1,0,0,,,0,1,1,,,0,0,0,,,
1,0,0,,,0,1,1,,,0,0,0,,,
0,0,0.6,,,1,1,0.4,,,0,0,0,,,
0,1,1,,,1,0,0,,,0,0,0,,,
1,1,0.6,,,0,0,0.4,,,0,0,0,,,
0,1,,,,1,0,,,,0,0,,,,
1,0,,,,0,1,,,,0,0,,,,
1,1,,,,0,0,,,,0,0,,,,
1,0,,,,0,1,,,,0,0,,,,
